player_name,state,from_california
Tavior Mowry,CA,yes
Randy Wright,CA,yes
Nick King,CA,yes
Russell Jones,CA,yes
Mitchell Sheppard,CA,yes
Shamawn Wright,CA,yes
Colton Silveria,CA,yes
Kenny Brookins,CA,yes
Aaron Jelovic,CA,yes
Clyde Ignont,CA,yes
Nikko Trinidad,CA,yes
Courtney Williams,CA,yes
Dane Turner,CA,yes
Garth Keffer,CA,yes
Darryl Graham,CA,yes
Earnest Sayles III,CA,yes
Jonathan Maricic,CA,yes
Patrick Wells,CA,yes
Ryan Dimino,CA,yes
Casey Jennings,CA,yes
Nate Walker,CA,yes
Marcus White,CA,yes
Steven Pitts,CA,yes
Desmond Lewis,CA,yes
Justin Williams,CA,yes
Jonathan Bias,CA,yes
Artice Nelson,CA,yes
Braxton Shirley,CA,yes
Joey Waters,CA,yes
Brady Stuart,CA,yes
Quinn Harris,CA,yes
Gabe Manzanares,CA,yes
Derek Baljeu,CA,yes
Mike Cullen,CA,yes
Atlas Smith,CA,yes
Nehemiah Winston,CA,yes
Dalton Turay,CA,yes
Zach Boman,CA,yes
Erik Holmer,CA,yes
Kevin Anderson,CA,yes
Walter Earnest,CA,yes
Jay Luchetti,CA,yes
Brady Stibi,CA,yes
Russell Reeder,CA,yes
Ryan Bua,CA,yes
Kyle DeVaughn,CA,yes
Ryan Lefotu,CA,yes
Derek Babiash,CA,yes
Anthony Saenz,CA,yes
Kyle Sulka,CA,yes
Jimmy Mahoney,CA,yes
Donnell Toliver,CA,yes
Zach Perron,CA,yes
Joey Lagarbo,CA,yes
Dakota Dosch,CA,yes
Julian Bertero,CA,yes
Andrew Carriger,CA,yes
Armando Ceja-Lua,CA,yes
Chris Schneider,CA,yes
Kevin Gavigan,CA,yes
Alex Hanes,CA,yes
Jess Ayala,CA,yes
Inoke Raikadroka,CA,yes
Andrew Hunter,CA,yes
Ian Joseph,CA,yes
Ariel Arguello,CA,yes
Parker Smith,CA,yes
Jimmy Kunkel,CA,yes
Tj King,CA,yes
Ramon Vargas,CA,yes
Delvin Alexander,CA,yes
Corey Galindo,CA,yes
Albert Miranda,CA,yes
Cameron Sentance,CA,yes
Taylor Sloat,CA,yes
Mark Martindale,CA,yes
Tim Benton,CA,yes
Trevor Mason,CA,yes
Asher Gotzmer,CA,yes
Zak Pettit,CA,yes
Brennon Krikava,CA,yes
Wesley O'Brien,CA,yes
Colby Wadman,CA,yes
Marques Barron,CA,yes
Anthony Kaspar,CA,yes
Brandon Weaver,CA,yes
Khalid Jones,CA,yes
Zach Jones,CA,yes
Luke Wood,CA,yes
Jesse Scroggins,CA,yes
Kylan Butler,CA,yes
Eamon McOsker,CA,yes
Chris Jones,CA,yes
Daniel Jenkins,CA,yes
Dominique Vaughn,CA,yes
Pierre Cormier,CA,yes
Yamen Sanders,CA,yes
Alfonso Medina,CA,yes
Conner Preston,CA,yes
Shaquille Richardson,CA,yes
Kendrick Payne,CA,yes
Marcel Jensen,CA,yes
Jordan Adamczyk,CA,yes
Nat Harrison,CA,yes
B.J. Denker,CA,yes
David Price,CA,yes
Nathan Madsen,CA,yes
Tyler Marona,CA,yes
Mitch Frentescu,CA,yes
D.J. Bush,CA,yes
C.J. Dozier,CA,yes
Samajie Grant,CA,yes
Adam Kennedy,CA,yes
Darrin Duncan,CA,yes
Daniel Henry,CA,yes
Ryan Steele,CA,yes
Adam Padilla,CA,yes
Todd Hunt,CA,yes
Ben Letcher,CA,yes
Adam Judnich,CA,yes
Adam Friederichsen,CA,yes
Cameron Birse,CA,yes
Devin Holiday,CA,yes
Nick Isham,CA,yes
Andy Jennings,CA,yes
Pete Thomas,CA,yes
Khari McGee,CA,yes
Roman Runner,CA,yes
Chris Wheeler,CA,yes
Taylor Martinez,CA,yes
Jalen Fields,CA,yes
Austin Larkin,CA,yes
Terrence Miller,CA,yes
Hank Hobson,CA,yes
Nathan Medrano,CA,yes
Justin Utupo,CA,yes
Brett Medders,CA,yes
Tra'Mayne Bondurant,CA,yes
Jared Baker,CA,yes
Todd McDonald,CA,yes
Shaun McClain,CA,yes
Corin Brooks,CA,yes
Terris Jones-Grigsby,CA,yes
Mycal Swaim,CA,yes
Ryan Dunn,CA,yes
Chris Gant,CA,yes
Yousif Khoury,CA,yes
Charlie Long,CA,yes
Patrick Arinze,CA,yes
Austin Hill,CA,yes
Terry Easmon,CA,yes
Johnny Jackson,CA,yes
Scooby Wright,CA,yes
Jonas Niusulu,CA,yes
Brennan Clay,CA,yes
Aaron Lazaro,CA,yes
Deontay Greenberry,CA,yes
Ikaika Woolsey,CA,yes
Josh Mitchell,CA,yes
Charles Thompson,CA,yes
Johnny Stanton,CA,yes
David Redmon,CA,yes
Brandon Connette,CA,yes
Isaac Goins,CA,yes
Sean Schroeder,CA,yes
Jarrad Shaw,CA,yes
